Player,Year,Games Played,Win Share
Tristan Thompson,2024,779,48.900000000000006
JT Thor,2024,165,1.1
Matisse Thybulle,2024,332,13.100000000000001
Xavier Tillman Sr.,2024,227,10.299999999999999
Jacob Toppin,2024,9,0.1
Obi Toppin,2024,283,12.3
Juan Toscano-Anderson,2024,202,5.7
Karl-Anthony Towns,2024,573,75.2
Gary Trent Jr.,2024,341,15.8
Oscar Tshiebwe,2024,8,0.2
P.J. Tucker,2024,883,43.2
Myles Turner,2024,570,43.9
Hunter Tyson,2024,18,0.0
Stanley Umude,2024,25,0.5
Jonas Valančiūnas,2024,856,80.4
Jarred Vanderbilt,2024,273,15.5
Fred VanVleet,2024,490,40.900000000000006
Devin Vassell,2024,239,9.6
Sasha Vezenkov,2024,42,1.0
Gabe Vincent,2024,206,3.8
Nikola Vučević,2024,899,72.70000000000002
Tristan Vukcevic,2024,10,0.1
Dean Wade,2024,224,8.799999999999999
Franz Wagner,2024,231,15.8
Moritz Wagner,2024,333,14.899999999999999
Ish Wainright,2024,116,2.3
Jabari Walker,2024,128,3.1
Jarace Walker,2024,33,0.4
Lonnie Walker IV,2024,322,4.5
Cason Wallace,2024,82,4.0
Jordan Walsh,2024,9,0.2
T.J. Warren,2024,385,20.900000000000002
P.J. Washington,2024,333,12.600000000000001
TyTy Washington Jr.,2024,42,-0.2
Yuta Watanabe,2024,213,4.1
Lindy Waters III,2024,104,2.8
Trendon Watford,2024,173,5.800000000000001
Peyton Watson,2024,103,2.8
Victor Wembanyama,2024,71,3.7
Blake Wesley,2024,98,-0.7000000000000001
Russell Westbrook,2024,1162,110.30000000000001
Coby White,2024,348,13.500000000000002
Derrick White,2024,418,31.2
Jack White,2024,21,0.0
Cam Whitmore,2024,47,1.5
Aaron Wiggins,2024,198,7.500000000000001
Andrew Wiggins,2024,706,29.1
Lindell Wigginton,2024,29,0.30000000000000004
Alondes Williams,2024,8,-0.2
Brandon Williams,2024,59,-1.1
Grant Williams,2024,364,14.799999999999999
Jalen Williams,2024,146,12.899999999999999
Jaylin Williams,2024,118,4.3
Jeenathan Williams,2024,27,0.6
Kenrich Williams,2024,322,12.499999999999998
Malik Williams,2024,7,-0.2
Mark Williams,2024,62,4.9
Patrick Williams,2024,213,8.100000000000001
Robert Williams,2024,215,22.6
Vince Williams Jr.,2024,67,2.6999999999999997
Ziaire Williams,2024,150,2.5
Zion Williamson,2024,184,21.799999999999997
D.J. Wilson,2024,148,2.9
Jalen Wilson,2024,43,1.1
Dylan Windler,2024,101,1.6
James Wiseman,2024,147,4.2
Isaiah Wong,2024,1,0.0
Christian Wood,2024,339,20.2
Delon Wright,2024,508,28.200000000000006
Thaddeus Young,2024,1172,72.0
Trae Young,2024,407,37.699999999999996
Omer Yurtseven,2024,113,3.1
Cody Zeller,2024,552,33.6
Ivica Zubac,2024,504,39.50000000000001
Steven Adams,2023,706,59.5
Will Barton,2023,679,26.400000000000002
Khem Birch,2023,282,13.400000000000002
Leandro Bolmaro,2023,49,-0.3
Tony Bradley,2023,179,7.6
Jarrell Brantley,2023,41,0.6
Sterling Brown,2023,268,6.500000000000001
Deonte Burton,2023,73,-0.4
John Butler,2023,19,0.0
Facundo Campazzo,2023,138,5.1
Vlatko Čančar,2023,130,2.5
Vernon Carey Jr.,2023,37,0.30000000000000004
Michael Carter-Williams,2023,395,6.6
Kennedy Chandler,2023,36,0.3
Josh Christopher,2023,138,0.3
Chance Comanche,2023,1,0.0
Xavier Cooks,2023,10,0.2
Jarrett Culver,2023,144,-0.1
Terence Davis,2023,227,5.300000000000001
Darius Days,2023,4,0.1
Dewayne Dedmon,2023,515,23.299999999999997
Matthew Dellavedova,2023,479,10.299999999999999
Gorgui Dieng,2023,628,30.599999999999998
Tyler Dorsey,2023,107,1.1
Devon Dotson,2023,28,0.30000000000000004
PJ Dozier,2023,121,1.7000000000000002
Goran Dragić,2023,946,56.5
Bryn Forbes,2023,431,11.599999999999998
Michael Foster Jr.,2023,1,0.0
Rudy Gay,2023,1120,60.9
JaMychal Green,2023,544,24.900000000000002
Blake Griffin,2023,765,81.0
Jordan Hall,2023,9,-0.1
Montrezl Harrell,2023,515,43.0
Udonis Haslem,2023,879,50.89999999999999
Juancho Hernangómez,2023,339,8.8
Willy Hernangómez,2023,344,16.3
George Hill,2023,915,70.99999999999999
Malcolm Hill,2023,24,0.6
Trevor Hudgins,2023,5,0.0
Serge Ibaka,2023,919,73.0
Andre Iguodala,2023,1231,100.49999999999999
Frank Jackson,2023,214,2.5
Alize Johnson,2023,76,1.2
Stanley Johnson,2023,449,6.8
Carlik Jones,2023,12,0.0
Kai Jones,2023,67,0.7
Mfiondu Kabengele,2023,55,0.5
Frank Kaminsky,2023,413,16.0
Trevor Keels,2023,3,0.0
Louis King,2023,27,0.4
Nathan Knight,2023,108,2.1
Christian Koloko,2023,58,1.7
Anthony Lamb,2023,88,2.6
Romeo Langford,2023,141,2.0
Damion Lee,2023,290,10.799999999999999
Meyers Leonard,2023,456,15.900000000000002
Tyrese Martin,2023,16,0.0
Mac McClung,2023,4,0.1
Rodney McGruder,2023,317,9.0
Chima Moneke,2023,2,0.0
Raul Neto,2023,435,11.5
Nerlens Noel,2023,467,28.200000000000003
Kendrick Nunn,2023,193,5.1
KZ Okpala,2023,98,1.0
Victor Oladipo,2023,504,25.599999999999998
Theo Pinson,2023,127,0.20000000000000007
Kevin Porter Jr.,2023,196,4.0
Davon Reed,2023,122,1.5000000000000002
Austin Rivers,2023,707,15.200000000000001
Isaiah Roby,2023,151,4.1
Terrence Ross,2023,733,25.0
Ricky Rubio,2023,698,42.300000000000004
Jordan Schakel,2023,6,-0.1
Jay Scrubb,2023,24,0.0
Chris Silva,2023,70,1.8
Marko Simonovic,2023,16,0.0
Xavier Sneed,2023,13,0.1
Edmond Sumner,2023,161,3.2
Isaiah Todd,2023,18,-0.4
Noah Vonleh,2023,362,9.4
Kemba Walker,2023,750,60.0
John Wall,2023,647,44.400000000000006
Duane Washington Jr.,2023,79,-0.5
Joe Wieskamp,2023,38,0.0
Donovan Williams,2023,2,0.0
Justise Winslow,2023,344,8.3
McKinley Wright IV,2023,32,0.5
Gabe York,2023,5,0.1
LaMarcus Aldridge,2022,1076,115.5
Justin Anderson,2022,242,4.9
Carmelo Anthony,2022,1260,108.60000000000001
Trevor Ariza,2022,1118,64.3
D.J. Augustin,2022,976,47.6
Joel Ayayi,2022,7,0.0
Lonzo Ball,2022,252,11.4
Cat Barber,2022,3,-0.1
Paris Bass,2022,2,0.0
Kent Bazemore,2022,657,13.499999999999998
Jordan Bell,2022,161,4.9
DeAndre' Bembry,2022,296,4.4
Nemanja Bjelica,2022,449,19.9
Eric Bledsoe,2022,756,45.9
Keljin Blevins,2022,48,-0.7
Isaac Bonga,2022,143,1.8
Avery Bradley,2022,660,17.2
Ignas Brazdeikis,2022,64,0.5
Chaundee Brown Jr.,2022,5,0.0
Shaq Buchanan,2022,2,0.0
Trey Burke,2022,498,12.9
Devontae Cacok,2022,36,0.8
Devin Cannady,2022,13,0.2
Willie Cauley-Stein,2022,422,23.2
Ahmad Caver,2022,1,0.0
Zylan Cheatham,2022,5,-0.1
Chris Chiozza,2022,91,0.8
Marquese Chriss,2022,292,6.5
Gary Clark,2022,170,3.0
Darren Collison,2022,711,49.699999999999996
Tyler Cook,2022,65,1.5
Sharife Cooper,2022,13,-0.2
Petr Cornelie,2022,13,0.0
DeMarcus Cousins,2022,654,46.800000000000004
Jarron Cumberland,2022,3,0.0
Ed Davis,2022,722,43.2
Gabriel Deck,2022,17,0.6
Sam Dekker,2022,201,5.300000000000001
Javin DeLaurier,2022,1,0.0
Cheick Diallo,2022,183,6.4
Damyean Dotson,2022,213,3.0
Sekou Doumbouya,2022,96,-0.4
Jaime Echenique,2022,1,0.0
Carsen Edwards,2022,72,0.3
Rob Edwards,2022,2,0.0
CJ Elleby,2022,88,0.5
Wayne Ellington,2022,770,21.099999999999998
James Ennis III,2022,395,16.099999999999998
Tacko Fall,2022,37,0.8
Derrick Favors,2022,790,60.1
Malik Fitts,2022,18,0.1
Aleem Ford,2022,5,-0.2
Melvin Frazier,2022,32,-0.30000000000000004
Tim Frazier,2022,289,6.4
Enes Freedom,2022,748,52.800000000000004
Langston Galloway,2022,452,14.5
Marcus Garrett,2022,12,0.1
Freddie Gillespie,2022,29,1.0
Brandon Goodwin,2022,133,0.9999999999999999
Hassani Gravett,2022,8,0.3
Kyle Guy,2022,53,0.0
Tyler Hall,2022,1,0.0
Maurice Harkless,2022,621,23.0
Jared Harper,2022,16,0.30000000000000004
Aaron Henry,2022,6,-0.1
Solomon Hill,2022,448,11.8
Jaylen Hoard,2022,39,1.3
Rodney Hood,2022,448,17.5
Scotty Hopson,2022,4,-0.1
Dwight Howard,2022,1242,142.00000000000003
Markus Howard,2022,68,0.0
Elijah Hughes,2022,54,-0.4
