Player,Year,Games Played,Win Share, relevancy
Maxwell Lewis,2024,34,-0.4, 0.10974572646553175
E.J. Liddell,2024,8,0.0, 0.02740857542759331
Damian Lillard,2024,842,110.69999999999999, 4.613897480223584
Nassir Little,2024,237,4.799999999999999, 0.8836809447905138
Dereck Lively II,2024,55,4.9, 0.26480120248557476
Isaiah Livers,2024,94,1.6, 0.3457872440031123
Chris Livingston,2024,21,0.1, 0.07330156039538144
Kenneth Lofton Jr.,2024,45,0.8, 0.16614336426080734
Kevon Looney,2024,523,33.2, 2.3059250392787027
Brook Lopez,2024,1025,85.6, 4.8424855260360395
Robin Lopez,2024,992,49.400000000000006, 4.15990678587856
Kevin Love,2024,929,94.60000000000001, 4.65694508222788
Kyle Lowry,2024,1138,111.5, 5.635586814511344
Seth Lundy,2024,9,-0.1, 0.02924286318707792
Trey Lyles,2024,581,19.5, 2.287904280509913
Théo Maledon,2024,177,-0.19999999999999996, 0.6003953327647443
Sandro Mamukelashvili,2024,130,3.0, 0.49056176082487324
Terance Mann,2024,345,18.5, 1.4676107944683952
Tre Mann,2024,168,1.8, 0.6012095775750521
Boban Marjanović,2024,331,13.299999999999999, 1.3379937579615948
Lauri Markkanen,2024,403,31.0, 1.8621884608964552
Naji Marshall,2024,230,6.8, 0.8913133714190035
Caleb Martin,2024,266,11.1, 1.0817571795793472
Cody Martin,2024,206,5.9, 0.7953219612543649
KJ Martin,2024,266,11.100000000000001, 1.0817571795793472
Garrison Mathews,2024,267,8.3, 1.0410717822994617
Bennedict Mathurin,2024,137,3.2, 0.5175750034877221
Wesley Matthews,2024,986,55.50000000000001, 4.235515232549998
Tyrese Maxey,2024,266,22.7, 1.264434344933678
Skylar Mays,2024,105,2.2, 0.3927360629007501
Miles McBride,2024,172,4.5, 0.6573656262507858
CJ McCollum,2024,731,50.400000000000006, 3.2858820901018952
T.J. McConnell,2024,627,28.8, 2.59117915524148
Jaden McDaniels,2024,284,11.600000000000001, 1.150994831691015
Jalen McDaniels,2024,248,5.3, 0.9290549605385453
Doug McDermott,2024,655,21.200000000000003, 2.566948661325947
JaVale McGee,2024,909,43.8, 3.788763264046062
Bryce McGowens,2024,105,0.7, 0.3691140156566556
Jordan McLaughlin,2024,242,8.9, 0.9652933284698266
De'Anthony Melton,2024,350,13.899999999999999, 1.4122153041319598
Nathan Mensah,2024,25,0.1, 0.08693792403174508
Sam Merrill,2024,102,3.5, 0.40298123111835926
Chimezie Metu,2024,260,5.699999999999999, 0.9762632640460615
Vasilije Micić,2024,60,0.4, 0.21098051529874576
Khris Middleton,2024,739,55.900000000000006, 3.3997689906029698
Brandon Miller,2024,74,0.8, 0.2650070006244437
Jordan Miller,2024,8,0.1, 0.028983378577199608
Leonard Miller,2024,17,0.3, 0.0628148030582304
Dariq Whitehead,2024,2,0.0, 0.006954029973047857
Patty Mills,2024,892,35.9, 3.6063992697726186
Shake Milton,2024,302,10.4, 1.1934608302593759
Justin Minaya,2024,38,0.0, 0.12968130270032058
Josh Minott,2024,47,0.7, 0.17138674292938286
Davion Mitchell,2024,227,2.9, 0.819668775857085
Donovan Mitchell,2024,468,44.300000000000004, 2.2932281888850023
Evan Mobley,2024,198,19.2, 0.9774980528792754
Isaiah Mobley,2024,22,0.2, 0.07828545445407864
Malik Monk,2024,458,12.3, 1.7552002719200772
Moses Moody,2024,181,5.0, 0.6959214601806354
Xavier Moon,2024,28,0.19999999999999998, 0.09873999990862409
Taze Moore,2024,4,0.0, 0.013772211791229675
Wendell Moore Jr.,2024,54,0.2, 0.1873763635449877
Ja Morant,2024,257,20.5, 1.199106857460521
Marcus Morris,2024,832,39.3, 3.4553971223137783
Markieff Morris,2024,776,27.3, 3.0755116534519313
Monte Morris,2024,375,23.9, 1.6549228918198626
Trey Murphy III,2024,198,14.9, 0.9097815174462046
Dejounte Murray,2024,472,26.000000000000004, 2.018675576143413
Jamal Murray,2024,469,31.8, 2.0997868860933053
Keegan Murray,2024,157,9.5, 0.6849694200947373
Kris Murray,2024,62,0.7, 0.2225231065657465
Mike Muscala,2024,548,19.3, 2.1722546742107
Svi Mykhailiuk,2024,293,4.300000000000001, 1.0667160199515733
Larry Nance Jr.,2024,522,33.4, 2.3056655546688245
Pete Nance,2024,8,-0.1, 0.02583377227798701
Andrew Nembhard,2024,143,3.2, 0.5380295489422676
Aaron Nesmith,2024,243,7.6, 0.9482299784340357
Georges Niang,2024,465,13.100000000000001, 1.7916623334805641
Daishen Nix,2024,96,-1.4, 0.3053613313331051
Zeke Nnaji,2024,194,5.5, 0.7481136577468489
Jaylen Nowell,2024,197,5.0, 0.7504669147260901
Markquis Nowell,2024,1,0.1, 0.005119742213563248
